PDF,Seite,Leitidee,Stufe,Begriff,Exakt,Flexion,Kompositum,Wortteil,Anzahl_Gesamt,Score_Gewichtet
84000_mb1_sb_Livebook_211019.pdf,12,Natürliche Umwelt und Ressourcen,Stufe 1,Tier,0,0,0,1,1,0.1
"84000_mb1_sb_Livebook_211019.pdf,12,""Politik, Demokratie und Menschenrechte"",Stufe 3,Mehrheit,0,0,1,0,1,0.5"
"84000_mb1_sb_Livebook_211019.pdf,12,""Politik, Demokratie und Menschenrechte"",Stufe 1,Ordnung,0,0,2,0,2,1.0"
"84000_mb1_sb_Livebook_211019.pdf,12,""Politik, Demokratie und Menschenrechte"",Stufe 1,Recht,0,0,1,0,1,0.5"
"84000_mb1_sb_Livebook_211019.pdf,12,""Politik, Demokratie und Menschenrechte"",Stufe 2,Rechte,0,0,1,0,1,0.6"
84000_mb1_sb_Livebook_211019.pdf,13,Geschlechter und Gleichstellung,Stufe 1,Arbeit,0,0,0,1,1,0.1
84000_mb1_sb_Livebook_211019.pdf,13,Geschlechter und Gleichstellung,Stufe 2,Arbeit,0,0,0,1,1,0.1
84000_mb1_sb_Livebook_211019.pdf,13,Geschlechter und Gleichstellung,Stufe 1,Mensch,1,0,0,0,1,1.0
84000_mb1_sb_Livebook_211019.pdf,13,Geschlechter und Gleichstellung,Stufe 1,Person,1,0,1,0,2,1.5
84000_mb1_sb_Livebook_211019.pdf,13,Gesundheit,Stufe 1,Leben,1,0,2,0,3,2.0
84000_mb1_sb_Livebook_211019.pdf,13,Gesundheit,Stufe 1,Pflege,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,13,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Art,0,0,1,1,2,0.6
84000_mb1_sb_Livebook_211019.pdf,13,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 2,Werte,0,1,0,0,1,0.75
84000_mb1_sb_Livebook_211019.pdf,13,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Wohnen,0,0,1,0,1,0.6
84000_mb1_sb_Livebook_211019.pdf,13,Natürliche Umwelt und Ressourcen,Stufe 1,Erde,1,0,0,1,2,1.1
84000_mb1_sb_Livebook_211019.pdf,13,Natürliche Umwelt und Ressourcen,Stufe 1,Leben,1,0,2,0,3,2.0
84000_mb1_sb_Livebook_211019.pdf,13,Natürliche Umwelt und Ressourcen,Stufe 1,Wasser,2,0,1,0,3,2.5
84000_mb1_sb_Livebook_211019.pdf,13,Natürliche Umwelt und Ressourcen,Stufe 2,Wasser,2,0,1,0,3,2.5
"84000_mb1_sb_Livebook_211019.pdf,13,""Politik, Demokratie und Menschenrechte"",Stufe 3,Mehrheit,0,0,0,1,1,0.1"
"84000_mb1_sb_Livebook_211019.pdf,13,""Politik, Demokratie und Menschenrechte"",Stufe 1,Ordnung,1,0,0,0,1,1.0"
"84000_mb1_sb_Livebook_211019.pdf,13,""Politik, Demokratie und Menschenrechte"",Stufe 1,Stimme,0,0,0,2,2,0.2"
"84000_mb1_sb_Livebook_211019.pdf,13,""Politik, Demokratie und Menschenrechte"",Stufe 1,Wert,1,0,0,0,1,1.0"
84000_mb1_sb_Livebook_211019.pdf,13,Wirtschaft und Konsum,Stufe 1,Arbeit,0,0,0,1,1,0.1
84000_mb1_sb_Livebook_211019.pdf,13,Wirtschaft und Konsum,Stufe 1,Geld,2,0,0,0,2,2.0
84000_mb1_sb_Livebook_211019.pdf,13,Wirtschaft und Konsum,Stufe 1,Kauf,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,13,Wirtschaft und Konsum,Stufe 2,Kosten,1,0,0,0,1,1.0
84000_mb1_sb_Livebook_211019.pdf,13,Wirtschaft und Konsum,Stufe 1,Preis,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,13,Wirtschaft und Konsum,Stufe 2,Preis,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,13,Wirtschaft und Konsum,Stufe 1,Ware,0,2,0,0,2,1.5
84000_mb1_sb_Livebook_211019.pdf,14,Geschlechter und Gleichstellung,Stufe 1,Kind,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,14,Geschlechter und Gleichstellung,Stufe 1,Mensch,2,0,1,0,3,2.5
84000_mb1_sb_Livebook_211019.pdf,14,Gesundheit,Stufe 1,Alter,0,0,0,1,1,0.1
84000_mb1_sb_Livebook_211019.pdf,14,Gesundheit,Stufe 1,Leben,0,0,3,0,3,1.5
84000_mb1_sb_Livebook_211019.pdf,14,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Brauch,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,14,Natürliche Umwelt und Ressourcen,Stufe 1,Leben,0,0,3,0,3,1.5
84000_mb1_sb_Livebook_211019.pdf,14,Natürliche Umwelt und Ressourcen,Stufe 1,Wasser,1,0,1,2,4,1.7
84000_mb1_sb_Livebook_211019.pdf,14,Natürliche Umwelt und Ressourcen,Stufe 2,Wasser,1,0,1,2,4,1.7
84000_mb1_sb_Livebook_211019.pdf,15,Geschlechter und Gleichstellung,Stufe 3,Aufgaben,1,0,0,0,1,1.0
84000_mb1_sb_Livebook_211019.pdf,15,Geschlechter und Gleichstellung,Stufe 1,Erwachsene,1,0,0,0,1,1.0
84000_mb1_sb_Livebook_211019.pdf,15,Geschlechter und Gleichstellung,Stufe 1,Mensch,0,1,0,0,1,0.75
84000_mb1_sb_Livebook_211019.pdf,15,Geschlechter und Gleichstellung,Stufe 1,Rolle,0,0,0,1,1,0.1
84000_mb1_sb_Livebook_211019.pdf,15,Geschlechter und Gleichstellung,Stufe 1,gleich,1,0,0,1,2,1.1
84000_mb1_sb_Livebook_211019.pdf,15,Gesundheit,Stufe 1,Essen,0,0,2,0,2,1.0
84000_mb1_sb_Livebook_211019.pdf,15,Gesundheit,Stufe 1,Rein,0,0,0,1,1,0.1
84000_mb1_sb_Livebook_211019.pdf,15,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Art,0,0,0,2,2,0.2
84000_mb1_sb_Livebook_211019.pdf,15,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 2,Begegnung,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,15,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Brauch,0,0,1,2,3,0.7
84000_mb1_sb_Livebook_211019.pdf,15,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Essen,0,0,2,0,2,1.0
84000_mb1_sb_Livebook_211019.pdf,15,Natürliche Umwelt und Ressourcen,Stufe 2,Stein,1,0,0,1,2,1.1
84000_mb1_sb_Livebook_211019.pdf,15,Natürliche Umwelt und Ressourcen,Stufe 1,Tier,0,0,0,2,2,0.2
84000_mb1_sb_Livebook_211019.pdf,15,Natürliche Umwelt und Ressourcen,Stufe 3,Verbrauch,0,0,2,0,2,1.0
84000_mb1_sb_Livebook_211019.pdf,15,Natürliche Umwelt und Ressourcen,Stufe 1,Wasser,3,0,0,0,3,3.0
84000_mb1_sb_Livebook_211019.pdf,15,Natürliche Umwelt und Ressourcen,Stufe 2,Wasser,3,0,0,0,3,3.0
"84000_mb1_sb_Livebook_211019.pdf,15,""Politik, Demokratie und Menschenrechte"",Stufe 3,Gleichheit,0,1,1,0,2,1.35"
"84000_mb1_sb_Livebook_211019.pdf,15,""Politik, Demokratie und Menschenrechte"",Stufe 1,Stimme,0,0,0,1,1,0.1"
84000_mb1_sb_Livebook_211019.pdf,15,Wirtschaft und Konsum,Stufe 1,Tausch,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,15,Wirtschaft und Konsum,Stufe 2,Verbrauch,0,0,2,0,2,1.0
84000_mb1_sb_Livebook_211019.pdf,16,Geschlechter und Gleichstellung,Stufe 2,Recht,0,2,1,3,6,2.3
84000_mb1_sb_Livebook_211019.pdf,16,Geschlechter und Gleichstellung,Stufe 1,gleich,0,3,3,1,7,3.85
84000_mb1_sb_Livebook_211019.pdf,16,Gesundheit,Stufe 1,Essen,0,0,4,0,4,2.0
84000_mb1_sb_Livebook_211019.pdf,16,Globale Entwicklung und Frieden,Stufe 1,Gemeinschaft,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,16,Globale Entwicklung und Frieden,Stufe 1,Handel,0,4,0,0,4,3.0
84000_mb1_sb_Livebook_211019.pdf,16,Globale Entwicklung und Frieden,Stufe 2,Handel,0,4,0,0,4,3.0
84000_mb1_sb_Livebook_211019.pdf,16,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Art,0,0,0,1,1,0.1
84000_mb1_sb_Livebook_211019.pdf,16,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Essen,0,0,4,0,4,2.0
84000_mb1_sb_Livebook_211019.pdf,16,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 2,Gemeinschaft,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,16,Natürliche Umwelt und Ressourcen,Stufe 1,Erde,0,0,0,2,2,0.2
"84000_mb1_sb_Livebook_211019.pdf,16,""Politik, Demokratie und Menschenrechte"",Stufe 3,Gleichheit,0,3,4,0,7,4.65"
"84000_mb1_sb_Livebook_211019.pdf,16,""Politik, Demokratie und Menschenrechte"",Stufe 1,Recht,0,2,1,3,6,2.3"
"84000_mb1_sb_Livebook_211019.pdf,16,""Politik, Demokratie und Menschenrechte"",Stufe 2,Rechte,1,1,3,1,6,3.45"
84000_mb1_sb_Livebook_211019.pdf,16,Wirtschaft und Konsum,Stufe 1,Handel,0,4,0,0,4,3.0
84000_mb1_sb_Livebook_211019.pdf,16,Wirtschaft und Konsum,Stufe 2,Handel,0,4,0,0,4,3.0
84000_mb1_sb_Livebook_211019.pdf,16,Wirtschaft und Konsum,Stufe 1,Preis,0,0,0,1,1,0.1
84000_mb1_sb_Livebook_211019.pdf,16,Wirtschaft und Konsum,Stufe 2,Preis,0,0,0,1,1,0.1
84000_mb1_sb_Livebook_211019.pdf,17,Geschlechter und Gleichstellung,Stufe 3,Aufgaben,1,1,0,0,2,1.75
84000_mb1_sb_Livebook_211019.pdf,17,Geschlechter und Gleichstellung,Stufe 2,Recht,0,1,6,3,10,4.05
84000_mb1_sb_Livebook_211019.pdf,17,Geschlechter und Gleichstellung,Stufe 3,Unterschied,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,17,Geschlechter und Gleichstellung,Stufe 1,gleich,0,0,0,1,1,0.1
84000_mb1_sb_Livebook_211019.pdf,17,Gesundheit,Stufe 1,Rein,0,0,0,1,1,0.1
84000_mb1_sb_Livebook_211019.pdf,17,Globale Entwicklung und Frieden,Stufe 1,Hilfe,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,17,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Fest,2,0,0,0,2,2.0
84000_mb1_sb_Livebook_211019.pdf,17,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 3,Unterschiede,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,17,Natürliche Umwelt und Ressourcen,Stufe 1,Erde,0,0,0,1,1,0.1
"84000_mb1_sb_Livebook_211019.pdf,17,""Politik, Demokratie und Menschenrechte"",Stufe 3,Gleichheit,0,0,1,0,1,0.6"
"84000_mb1_sb_Livebook_211019.pdf,17,""Politik, Demokratie und Menschenrechte"",Stufe 3,Mehrheit,0,0,1,0,1,0.5"
"84000_mb1_sb_Livebook_211019.pdf,17,""Politik, Demokratie und Menschenrechte"",Stufe 1,Recht,0,1,6,3,10,4.05"
"84000_mb1_sb_Livebook_211019.pdf,17,""Politik, Demokratie und Menschenrechte"",Stufe 2,Rechte,0,1,9,0,10,5.25"
"84000_mb1_sb_Livebook_211019.pdf,17,""Politik, Demokratie und Menschenrechte"",Stufe 1,Stimme,0,0,3,0,3,1.5"
84000_mb1_sb_Livebook_211019.pdf,17,Wirtschaft und Konsum,Stufe 1,Tausch,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,18,Geschlechter und Gleichstellung,Stufe 3,Aufgaben,0,1,0,0,1,0.75
